Condition,Trial,Correct,Incorrect,Total
3,8,5,0,5
3,8,5,0,5
3,8,5,0,5
3,8,5,0,5
3,8,5,0,5
3,8,5,0,5
3,8,5,0,5
3,8,5,0,5
1,8,5,0,5
1,8,5,0,5
1,8,4,1,5
1,8,4,1,5
1,8,5,0,5
1,8,5,0,5
1,8,5,0,5
1,8,5,0,5
2,8,4,2,6
2,8,4,2,6
2,8,5,1,6
2,8,3,3,6
2,8,5,1,6
2,8,4,2,6
2,8,6,0,6
2,8,5,1,6
4,8,3,2,5
4,8,4,1,5
4,8,4,1,5
4,8,4,1,5
4,8,5,0,5
4,8,5,0,5
4,8,5,0,5
4,8,5,0,5
5,8,4,0,4
5,8,3,1,4
5,8,2,2,4
5,8,4,0,4
5,8,2,2,4
5,8,1,3,4
5,8,3,1,4
5,8,4,0,4
6,8,5,0,5
6,8,5,0,5
6,8,4,1,5
6,8,5,0,5
6,8,5,0,5
6,8,4,1,5
6,8,3,2,5
6,8,4,1,5
7,8,5,0,5
7,8,2,3,5
7,8,3,2,5
7,8,4,1,5
7,8,5,0,5
7,8,5,0,5
7,8,4,1,5
7,8,4,1,5
8,8,6,0,6
8,8,6,0,6
8,8,6,0,6
8,8,4,2,6
8,8,6,0,6
8,8,2,4,6
8,8,6,0,6
8,8,4,2,6
10,8,3,2,5
10,8,3,2,5
10,8,3,2,5
10,8,3,2,5
10,8,5,0,5
10,8,4,1,5
10,8,3,2,5
10,8,4,1,5
9,8,5,0,5
9,8,5,0,5
9,8,4,1,5
9,8,4,1,5
9,8,4,1,5
9,8,5,0,5
9,8,4,1,5
9,8,5,0,5
